feature_type,norm_flag,min_train_rmse,mean_train_rmse,std_train_rmse,min_test_rmse,mean_test_rmse,std_test_rmse,min_train_r2,mean_train_r2,std_train_r2,min_test_r2,mean_test_r2,std_test_r2
all,0,2.13112029855911,2.1835120111360715,0.032705781356143784,2.1168866162920397,2.2347855732169988,0.05146714587183243,0.5167616877029346,0.5398883815628942,0.011478220565424852,0.4785989737692937,0.5204818164392813,0.022482515124427664
all,1,2.13112029855911,2.1835120111360715,0.0327057813561438,2.1168866162920397,2.2347855732169988,0.051467145871832716,0.5167616877029346,0.5398883815628942,0.011478220565424845,0.47859897376929317,0.5204818164392813,0.022482515124428018
selected,0,2.4155479186870243,2.4881590302000376,0.03954675645955412,2.347579503554447,2.5093986144690774,0.06005689153961106,0.3833508927723639,0.40260853436056027,0.012453582395584004,0.3514495431647179,0.39578241359056815,0.018861951503641398
selected,1,2.4155479186870243,2.4881590302000376,0.03954675645955412,2.347579503554447,2.5093986144690774,0.06005689153961106,0.3833508927723639,0.40260853436056027,0.012453582395584004,0.3514495431647179,0.39578241359056815,0.018861951503641398
