experiment_num,train_rmse,test_rmse,train_r2,test_r2
0,2.072040463831378,2.1091579327345458,0.58895442856656,0.5685136217089999
1,2.1079010856427143,2.096393211723192,0.5751284091691686,0.5730787518437892
2,2.0143304305675787,2.2181689249498264,0.5871859037941394,0.5620854186318267
3,2.119895159121704,2.0682256753477612,0.583322184172929,0.563634309639603
4,2.0793931789957587,2.1011752630031095,0.5977887124033894,0.5520522537069965
5,2.033127554566235,2.171727154360562,0.5990243315723547,0.5515846461143672
6,2.119639164955664,2.0866535099096013,0.5616735094151457,0.58904568504612
7,2.0739756850317286,2.1231944731486663,0.5738013329266449,0.5827457601078725
8,2.0700463825304003,2.1385295408859686,0.5832958327309195,0.5664851540884495
9,2.051135057635878,2.157130993935939,0.589083389185876,0.5613880631370827
10,2.0860219488649983,2.136417805447582,0.579121230027948,0.5641602978874032
11,2.095716088280292,2.105331787585394,0.568569730618498,0.5861718944648218
12,2.1483011854394727,2.000231668269658,0.5607612898268746,0.6083361540283797
13,2.104716741957736,2.0474630023890996,0.5799358221314586,0.5871624652431762
14,2.0601540640710345,2.1572795462611687,0.5774775471503608,0.5729522720033633
15,2.0659035403625183,2.1303110822005125,0.5976865304722307,0.5492179513536499
16,2.06920824842146,2.1307188768715255,0.5867474024690071,0.5651510451455658
17,2.0815204558452254,2.0821680995106853,0.5844757148728135,0.5807638793884267
18,2.032704942234597,2.1723351960494055,0.594083568829218,0.5594899601641934
19,2.076822493919957,2.1777803714087907,0.5809390753841674,0.5500015241083203
20,2.0470270073615873,2.1696890628972385,0.5865070327811186,0.5630789538338287
21,2.058922014986316,2.1358475690068115,0.5773731862553866,0.5828488306230191
22,2.1072237267647713,2.0994821616979236,0.5880598487383165,0.5504743011009038
23,2.1002710108963996,2.1456041383500493,0.5807848347901188,0.5485784125147506
24,2.0347497002258486,2.198835208594384,0.5958262434398353,0.5445827066776037
25,2.1104590206326503,2.0487683007513575,0.592643608148972,0.5618778995835937
26,2.03839521453885,2.1487285911406073,0.5865457495350125,0.5763436960248685
27,2.064087199981036,2.1417496405965912,0.588999532167737,0.5602659998766506
28,2.121017802109858,2.070366610251289,0.5683426710080941,0.5856121587530065
29,2.103351572206145,2.060313410712156,0.5815217700928483,0.5805604096549017
