experiment_num,train_rmse,test_rmse,train_r2,test_r2
0,2.190998077392578,2.210850954055786,0.5404026508331299,0.5259023904800415
1,2.2005836963653564,2.217851400375366,0.5369445085525513,0.5221768617630005
2,2.1470277309417725,2.300917863845825,0.531004786491394,0.5288031101226807
3,2.2448134422302246,2.1713130474090576,0.5327684879302979,0.5190503597259521
4,2.202948808670044,2.2183005809783936,0.5485705137252808,0.5007206201553345
5,2.1639907360076904,2.2885913848876953,0.5457451939582825,0.5020262002944946
6,2.231740713119507,2.203467607498169,0.5140838623046875,0.5417460203170776
7,2.1955034732818604,2.2814626693725586,0.5223904252052307,0.5182209014892578
8,2.1957192420959473,2.226329803466797,0.5311635732650757,0.5301573872566223
9,2.178297996520996,2.30072021484375,0.5365533232688904,0.5010523200035095
10,2.1959049701690674,2.2185444831848145,0.5336130857467651,0.5300078392028809
11,2.220111131668091,2.2489821910858154,0.5158330202102661,0.5277729034423828
12,2.2840304374694824,2.1560871601104736,0.5035059452056885,0.5449222922325134
13,2.2479665279388428,2.1465277671813965,0.5208097100257874,0.5462464094161987
14,2.1788272857666016,2.3044381141662598,0.5273975133895874,0.5127031207084656
15,2.207123279571533,2.186643123626709,0.5408044457435608,0.525062620639801
16,2.179922580718994,2.2478063106536865,0.5413415431976318,0.5160461664199829
17,2.2314624786376953,2.2274794578552246,0.522455096244812,0.5202063918113708
18,2.1675331592559814,2.272747039794922,0.5384492874145508,0.5178254246711731
19,2.1941308975219727,2.2717294692993164,0.5322611927986145,0.5103381872177124
20,2.157297134399414,2.324807643890381,0.5407587885856628,0.4983717203140259
21,2.2064051628112793,2.2718570232391357,0.5146580934524536,0.5280294418334961
22,2.22833251953125,2.1578571796417236,0.5393481254577637,0.5251290798187256
23,2.1989905834198,2.231189727783203,0.5404497385025024,0.5118468999862671
24,2.179173469543457,2.2680485248565674,0.5364145636558533,0.5154608488082886
25,2.2833635807037354,2.1062963008880615,0.5231621265411377,0.5369281768798828
26,2.178422451019287,2.2705705165863037,0.5277903079986572,0.526935338973999
27,2.194323778152466,2.234879970550537,0.5354979038238525,0.5211923718452454
28,2.2482805252075195,2.1818060874938965,0.5149891376495361,0.539801836013794
29,2.2396695613861084,2.149677276611328,0.5255209803581238,0.5433857440948486
