feature_type,norm_flag,min,mean,std
all,0,0.9266109161827316,0.9358508302660883,0.004474525834252094
all,1,0.9267741626544312,0.9360310771404798,0.004473160907645177
selected,0,0.9295565225233352,0.9373666146861103,0.004003443383716164
selected,1,0.9295565225233352,0.9373666146861103,0.004003443383716164
