experiment_num,train_rmse,test_rmse,train_r2,test_r2
0,2.6580403880407077,2.664267464836199,0.3235796093940735,0.3114989995956421
1,2.0619625204834184,2.080941319843065,0.5934455394744873,0.5793489813804626
2,2.0543432069075793,2.254896143021597,0.5706226825714111,0.5474638938903809
3,2.1592669471893053,2.1278010988112515,0.567700982093811,0.5381331443786621
4,2.0784810508545712,2.1280247987086494,0.5981414914131165,0.5405310392379761
5,2.0545285276411764,2.20734388820383,0.590538501739502,0.5367558002471924
6,2.2646601548634306,2.3002245023143635,0.4996430277824402,0.5006174445152283
7,2.3498477205458888,2.522017288177083,0.452877938747406,0.4112684726715088
8,2.1185432718426096,2.188854812904368,0.5635421276092529,0.5458415746688843
9,2.014589829547971,2.1610025864258104,0.6035956144332886,0.5598121881484985
10,2.287404925580432,2.322818413468818,0.49393606185913086,0.48478925228118896
11,2.083883132231297,2.107900089945197,0.5734279155731201,0.585161566734314
12,2.206128829679062,2.073734371270353,0.5367963314056396,0.5790222883224487
13,2.1310730021260813,2.0939693740607077,0.5693495273590088,0.5681949257850647
14,2.0870221668082247,2.150770828983192,0.5663847923278809,0.5755252838134766
15,2.097187557369995,2.1770877406623423,0.5854098200798035,0.5292043685913086
16,2.291861443440263,2.397831555879667,0.49302810430526733,0.4492894411087036
17,2.256512004320468,2.2659377578327393,0.5116734504699707,0.5034956336021423
18,2.040945218024415,2.1737242823298115,0.5907858610153198,0.5589264035224915
19,2.142237108895899,2.2044582801131316,0.5541245937347412,0.5389089584350586
20,2.0379139048677293,2.1829217066450544,0.5901803970336914,0.5577332377433777
21,2.230559609758391,2.3753547547294276,0.5039734244346619,0.4840472340583801
22,2.145548370229506,2.1298863810413966,0.5729394555091858,0.5373601913452148
23,2.09076177884395,2.1273617755259515,0.5845723152160645,0.5562219023704529
24,2.432493752137269,2.5392096881549304,0.42237013578414917,0.3926748037338257
25,2.391144631730895,2.462693272763019,0.4770834445953369,0.3669615387916565
26,2.0257677775046425,2.1806047729933455,0.591652512550354,0.5636806488037109
27,2.314587917173386,2.3788480350821586,0.4831867814064026,0.457517147064209
28,2.1083037897332906,2.053306584533833,0.5735021829605103,0.5924132466316223
29,2.335593005351125,2.2405692235748242,0.4840073585510254,0.50395667552948
