experiment_num,feature_type,norm_flag,train_rmse,test_rmse,train_r2,test_r2
0,all,0,2.182935454731308,2.2256750073567058,0.5437789725593221,0.5195232397299248
0,all,1,2.182935454731308,2.225675007356706,0.5437789725593221,0.5195232397299245
0,selected,0,2.495045539434936,2.53302704773919,0.4039942323908098,0.377658814355889
0,selected,1,2.495045539434936,2.53302704773919,0.4039942323908098,0.377658814355889
1,all,0,2.175332208185464,2.271743061403358,0.5475105915717693,0.4986734543422672
1,all,1,2.1753322081854636,2.271743061403357,0.5475105915717693,0.4986734543422676
1,selected,0,2.4953432502120148,2.530963741837189,0.4045876674100407,0.37773678554944845
1,selected,1,2.4953432502120148,2.530963741837189,0.4045876674100407,0.37773678554944845
2,all,0,2.13112029855911,2.3120470829349817,0.5379286702819355,0.5242338708788712
2,all,1,2.13112029855911,2.312047082934975,0.5379286702819355,0.5242338708788741
2,selected,0,2.475043787599665,2.565057534372029,0.3767549116247483,0.41440899888602223
2,selected,1,2.475043787599665,2.565057534372029,0.3767549116247483,0.41440899888602223
3,all,0,2.202510272592675,2.26078138095658,0.5502123796516732,0.4785989737692937
3,all,1,2.202510272592675,2.260781380956581,0.5502123796516732,0.47859897376929317
3,selected,0,2.5287598679117296,2.483322114156796,0.4070927051092532,0.3708983012002649
3,selected,1,2.5287598679117296,2.483322114156796,0.4070927051092532,0.3708983012002649
4,all,0,2.1896052343381034,2.2145190208021313,0.5540227866407477,0.502421476406763
4,all,1,2.1896052343381034,2.2145190208021317,0.5540227866407477,0.5024214764067628
4,selected,0,2.4947060484352197,2.5347177512222485,0.42107835918937975,0.34812847588024265
4,selected,1,2.4947060484352197,2.5347177512222485,0.42107835918937975,0.34812847588024265
5,all,0,2.1486137638186302,2.2774634493288106,0.5521779493450762,0.5068571021561488
5,all,1,2.1486137638186302,2.2774634493288115,0.5521779493450762,0.5068571021561483
5,selected,0,2.466959364789786,2.573491652361385,0.4096456613561432,0.37032640896577607
5,selected,1,2.466959364789786,2.573491652361385,0.4096456613561432,0.37032640896577607
6,all,0,2.2249724102294492,2.1583623288889378,0.5170267165752995,0.5603150815012583
6,all,1,2.2249724102294492,2.1583623288889373,0.5170267165752995,0.5603150815012585
6,selected,0,2.5258733346898046,2.4863149953861847,0.37756073138899093,0.4165479595218019
6,selected,1,2.5258733346898046,2.4863149953861847,0.37756073138899093,0.4165479595218019
7,all,0,2.1711498004363423,2.2511760013173534,0.5329274502047497,0.5309273526630085
7,all,1,2.1711498004363423,2.2511760013173543,0.5329274502047497,0.5309273526630083
7,selected,0,2.4691557584278083,2.578712209432597,0.3959098703113373,0.3845015530728768
7,selected,1,2.4691557584278083,2.578712209432597,0.3959098703113373,0.3845015530728768
8,all,0,2.1701824040055087,2.242583665312908,0.5420056016956131,0.5232718731066153
8,all,1,2.170182404005509,2.2425836653129085,0.542005601695613,0.523271873106615
8,selected,0,2.4992112596212546,2.52497990760184,0.3926016216297856,0.39564889541358217
8,selected,1,2.4992112596212546,2.52497990760184,0.3926016216297856,0.39564889541358217
9,all,0,2.154072579316421,2.2672980441458814,0.546804230687769,0.5154432632593082
9,all,1,2.154072579316421,2.267298044145884,0.546804230687769,0.5154432632593069
9,selected,0,2.4461945859942995,2.603477990077157,0.4155502413849844,0.36109655468747337
9,selected,1,2.4461945859942995,2.603477990077157,0.4155502413849844,0.36109655468747337
10,all,0,2.178543060395433,2.2311387754999576,0.5409589026355466,0.5246564783729426
10,all,1,2.178543060395433,2.2311387754999585,0.5409589026355466,0.5246564783729423
10,selected,0,2.4910164283157954,2.538973564492937,0.39983252543882863,0.38443946342749624
10,selected,1,2.4910164283157954,2.538973564492937,0.39983252543882863,0.38443946342749624
11,all,0,2.200874571490591,2.199276021937918,0.52418700078533,0.5484161873999863
11,all,1,2.200874571490591,2.1992760219379153,0.52418700078533,0.5484161873999875
11,selected,0,2.499962570916503,2.5244126483147924,0.386078659026325,0.4050238154229445
11,selected,1,2.499962570916503,2.5244126483147924,0.386078659026325,0.4050238154229445
12,all,0,2.2533338653163746,2.1168866162920397,0.5167616877029346,0.5613197515587611
12,all,1,2.2533338653163746,2.1168866162920397,0.5167616877029346,0.5613197515587611
12,selected,0,2.5425551859887046,2.459379531023473,0.3847508144858519,0.40788782005929347
12,selected,1,2.5425551859887046,2.459379531023473,0.3847508144858519,0.40788782005929347
13,all,0,2.2438033906399872,2.1284352108925293,0.5225829377746518,0.5538633312185075
13,all,1,2.2438033906399872,2.1284352108925275,0.5225829377746518,0.5538633312185082
13,selected,0,2.5626429925528815,2.428180473412102,0.3772631695962756,0.41935729366529273
13,selected,1,2.5626429925528815,2.428180473412102,0.3772631695962756,0.41935729366529273
14,all,0,2.1410078724793746,2.296719576901056,0.543661698060032,0.5159619434499962
14,all,1,2.1410078724793746,2.2967195769010558,0.543661698060032,0.5159619434499965
14,selected,0,2.444796674980148,2.604561165338878,0.40497407778188055,0.37750956060208085
14,selected,1,2.444796674980148,2.604561165338878,0.40497407778188055,0.37750956060208085
15,all,0,2.188002447991627,2.2242480173415404,0.5487262204099888,0.50858661230133
15,all,1,2.188002447991627,2.22424801734154,0.5487262204099888,0.5085866123013303
15,selected,0,2.543285384729604,2.4583724319690203,0.39027404250414277,0.3996895355659358
15,selected,1,2.543285384729604,2.4583724319690203,0.39027404250414277,0.3996895355659358
16,all,0,2.1644171609182195,2.2739558570758325,0.5478431366684797,0.5047206932484065
16,all,1,2.164417160918219,2.2739558570758316,0.5478431366684797,0.5047206932484067
16,selected,0,2.488477362386043,2.540642195238904,0.40231194169589846,0.3817371708455116
16,selected,1,2.488477362386043,2.540642195238904,0.40231194169589846,0.3817371708455116
17,all,0,2.199071125239712,2.1989863945386596,0.5362183121226324,0.5324024776116718
17,all,1,2.199071125239712,2.1989863945386587,0.5362183121226324,0.5324024776116723
17,selected,0,2.517612999087997,2.4984487496112964,0.3921268103785771,0.39637390369775316
17,selected,1,2.517612999087997,2.4984487496112964,0.3921268103785771,0.39637390369775316
18,all,0,2.146189763774822,2.2769127059255054,0.5474941650196045,0.5160562394410677
18,all,1,2.146189763774822,2.2769127059255063,0.5474941650196045,0.5160562394410675
18,selected,0,2.466406504893561,2.573186948510196,0.40239082071350785,0.3819198252613826
18,selected,1,2.466406504893561,2.573186948510196,0.40239082071350785,0.3819198252613826
